"selection1_batsmen_name","selection1_batsmen_Out_NotOut","selection1_batsmen_Runs","selection1_batsmen_Balls","selection1_batsmen_Fours","selection1_batsmen_Sixes","selection1_batsmen_Strike_Rate","selection1_batsmen_Team","selection1_batsmen_Match_No"
"Hardik Pandya (c)","c Curran b Harpreet Brar","8","11","1","0","72.72","Gujarat Titans","18th Match (N), Mohali, April 13, 2023,
Indian Premier League"
"David Miller","not out","17","18","1","0","94.44","Gujarat Titans","18th Match (N), Mohali, April 13, 2023,
Indian Premier League"
"Rahul Tewatia","not out","5","2","1","0","250.00","Gujarat Titans","18th Match (N), Mohali, April 13, 2023,
Indian Premier League"
"Rashid Khan,","","Did not bat:","","","","","",""
"Alzarri Joseph,","","Did not bat:","","","","","",""
"Mohammed Shami,","","Did not bat:","","","","","",""
"Mohit Sharma,","","Did not bat:","","","","","",""
"Josh Little","","Did not bat:","","","","","",""
"Harry Brook","not out","100","55","12","3","181.81","Sunrisers Hyderabad","19th Match (N), Eden Gardens, April 14, 2023,
Indian Premier League"
"Mayank Agarwal","c Varun b Russell","9","13","0","0","69.23","Sunrisers Hyderabad","19th Match (N), Eden Gardens, April 14, 2023,
Indian Premier League"
"Rahul Tripathi","c †Rahmanullah Gurbaz b Russell","9","4","2","0","225.00","Sunrisers Hyderabad","19th Match (N), Eden Gardens, April 14, 2023,
Indian Premier League"
"Aiden Markram (c)","c Russell b Varun","50","26","2","5","192.30","Sunrisers Hyderabad","19th Match (N), Eden Gardens, April 14, 2023,
Indian Premier League"
"Abhishek Sharma","c Thakur b Russell","32","17","3","2","188.23","Sunrisers Hyderabad","19th Match (N), Eden Gardens, April 14, 2023,
Indian Premier League"
"Heinrich Klaasen †","not out","16","6","2","1","266.66","Sunrisers Hyderabad","19th Match (N), Eden Gardens, April 14, 2023,
Indian Premier League"
"Marco Jansen,","","Did not bat:","","","","","",""
"Mayank Markande,","","Did not bat:","","","","","",""
"Bhuvneshwar Kumar,","","Did not bat:","","","","","",""
"Umran Malik,","","Did not bat:","","","","","",""
"T Natarajan","","Did not bat:","","","","","",""
"Rahmanullah Gurbaz †","c Umran Malik b Kumar","0","3","0","0","0.00","Kolkata Knight Riders","19th Match (N), Eden Gardens, April 14, 2023,
Indian Premier League"
"Narayan Jagadeesan","c sub (GD Phillips) b Markande","36","21","5","1","171.42","Kolkata Knight Riders","19th Match (N), Eden Gardens, April 14, 2023,
Indian Premier League"
"Venkatesh Iyer","c Markram b Jansen","10","11","2","0","90.90","Kolkata Knight Riders","19th Match (N), Eden Gardens, April 14, 2023,
Indian Premier League"
"Sunil Narine","c Markram b Jansen","0","1","0","0","0.00","Kolkata Knight Riders","19th Match (N), Eden Gardens, April 14, 2023,
Indian Premier League"
"Nitish Rana (c)","c Washington Sundar b Natarajan","75","41","5","6","182.92","Kolkata Knight Riders","19th Match (N), Eden Gardens, April 14, 2023,
Indian Premier League"
"Andre Russell","c Jansen b Markande","3","6","0","0","50.00","Kolkata Knight Riders","19th Match (N), Eden Gardens, April 14, 2023,
Indian Premier League"
"Rinku Singh","not out","58","31","4","4","187.09","Kolkata Knight Riders","19th Match (N), Eden Gardens, April 14, 2023,
Indian Premier League"
"Shardul Thakur","c Washington Sundar b Umran Malik","12","7","2","0","171.42","Kolkata Knight Riders","19th Match (N), Eden Gardens, April 14, 2023,
Indian Premier League"
"Umesh Yadav","not out","1","1","0","0","100.00","Kolkata Knight Riders","19th Match (N), Eden Gardens, April 14, 2023,
Indian Premier League"
"Lockie Ferguson,","","Did not bat:","","","","","",""
"Varun Chakravarthy","","Did not bat:","","","","","",""
"Virat Kohli","c Dhull b Lalit Yadav","50","34","6","1","147.05","Royal Challengers Bangalore","20th Match (D/N), Bengaluru, April 15, 2023,
Indian Premier League"
"Faf du Plessis (c)","c Aman Hakim Khan b Marsh","22","16","3","1","137.50","Royal Challengers Bangalore","20th Match (D/N), Bengaluru, April 15, 2023,
Indian Premier League"
"Mahipal Lomror","c †Abishek Porel b Marsh","26","18","0","2","144.44","Royal Challengers Bangalore","20th Match (D/N), Bengaluru, April 15, 2023,
Indian Premier League"
"Glenn Maxwell","c Warner b Kuldeep Yadav","24","14","0","3","171.42","Royal Challengers Bangalore","20th Match (D/N), Bengaluru, April 15, 2023,
Indian Premier League"
"Harshal Patel","c †Abishek Porel b Patel","6","4","0","1","150.00","Royal Challengers Bangalore","20th Match (D/N), Bengaluru, April 15, 2023,
Indian Premier League"
"Shahbaz Ahmed","not out","20","12","3","0","166.66","Royal Challengers Bangalore","20th Match (D/N), Bengaluru, April 15, 2023,
Indian Premier League"
"Dinesh Karthik †","c Lalit Yadav b Kuldeep Yadav","0","1","0","0","0.00","Royal Challengers Bangalore","20th Match (D/N), Bengaluru, April 15, 2023,
Indian Premier League"
"Anuj Rawat","not out","15","22","1","0","68.18","Royal Challengers Bangalore","20th Match (D/N), Bengaluru, April 15, 2023,
Indian Premier League"
"Wanindu Hasaranga,","","Did not bat:","","","","","",""
"Wayne Parnell,","","Did not bat:","","","","","",""
"Mohammed Siraj,","","Did not bat:","","","","","",""
"Vijaykumar Vyshak","","Did not bat:","","","","","",""
"David Warner (c)","c Kohli b Vyshak","19","13","4","0","146.15","Delhi Capitals","20th Match (D/N), Bengaluru, April 15, 2023,
Indian Premier League"
"Prithvi Shaw","run out (Anuj Rawat)","0","2","0","0","0.00","Delhi Capitals","20th Match (D/N), Bengaluru, April 15, 2023,
Indian Premier League"
"Mitchell Marsh","c Kohli b Parnell","0","4","0","0","0.00","Delhi Capitals","20th Match (D/N), Bengaluru, April 15, 2023,
Indian Premier League"
"Yash Dhull","lbw b Mohammed Siraj","1","4","0","0","25.00","Delhi Capitals","20th Match (D/N), Bengaluru, April 15, 2023,
Indian Premier League"
"Manish Pandey","lbw b de Silva","50","38","5","1","131.57","Delhi Capitals","20th Match (D/N), Bengaluru, April 15, 2023,
Indian Premier League"
"Abishek Porel †","c Parnell b Patel","5","8","0","0","62.50","Delhi Capitals","20th Match (D/N), Bengaluru, April 15, 2023,
Indian Premier League"
"Axar Patel","c Mohammed Siraj b Vyshak","21","14","3","0","150.00","Delhi Capitals","20th Match (D/N), Bengaluru, April 15, 2023,
Indian Premier League"
"Aman Hakim Khan","c Kohli b Mohammed Siraj","18","10","1","1","180.00","Delhi Capitals","20th Match (D/N), Bengaluru, April 15, 2023,
Indian Premier League"
"Lalit Yadav","c Maxwell b Vyshak","4","7","0","0","57.14","Delhi Capitals","20th Match (D/N), Bengaluru, April 15, 2023,
Indian Premier League"
"Anrich Nortje","not out","23","14","4","0","164.28","Delhi Capitals","20th Match (D/N), Bengaluru, April 15, 2023,
Indian Premier League"
"Kuldeep Yadav","not out","7","6","1","0","116.66","Delhi Capitals","20th Match (D/N), Bengaluru, April 15, 2023,
Indian Premier League"
"KL Rahul (c)","c sub (NT Ellis) b Arshdeep Singh","74","56","8","1","132.14","Lucknow Super Giants","21st Match (N), Lucknow, April 15, 2023,
Indian Premier League"
"Kyle Mayers","c Harpreet Singh b Harpreet Brar","29","23","1","3","126.08","Lucknow Super Giants","21st Match (N), Lucknow, April 15, 2023,
Indian Premier League"
"Deepak Hooda","lbw b Sikandar Raza","2","3","0","0","66.66","Lucknow Super Giants","21st Match (N), Lucknow, April 15, 2023,
Indian Premier League"
"Krunal Pandya","c Shahrukh Khan b Rabada","18","17","2","0","105.88","Lucknow Super Giants","21st Match (N), Lucknow, April 15, 2023,
Indian Premier League"
"Nicholas Pooran †","c Shahrukh Khan b Rabada","0","1","0","0","0.00","Lucknow Super Giants","21st Match (N), Lucknow, April 15, 2023,
Indian Premier League"
"Marcus Stoinis","c †Sharma b Curran","15","11","0","2","136.36","Lucknow Super Giants","21st Match (N), Lucknow, April 15, 2023,
Indian Premier League"
"Ayush Badoni","not out","5","6","0","0","83.33","Lucknow Super Giants","21st Match (N), Lucknow, April 15, 2023,
Indian Premier League"
"Krishnappa Gowtham","c Sikandar Raza b Curran","1","2","0","0","50.00","Lucknow Super Giants","21st Match (N), Lucknow, April 15, 2023,
Indian Premier League"
"Yudhvir Singh","c Shahrukh Khan b Curran","0","1","0","0","0.00","Lucknow Super Giants","21st Match (N), Lucknow, April 15, 2023,
Indian Premier League"
"Ravi Bishnoi","not out","3","1","0","0","300.00","Lucknow Super Giants","21st Match (N), Lucknow, April 15, 2023,
Indian Premier League"
"Avesh Khan,","","Did not bat:","","","","","",""
"Mark Wood","","Did not bat:","","","","","",""
"Atharva Taide","c Avesh Khan b Yudhvir Singh","0","3","0","0","0.00","Punjab Kings","21st Match (N), Lucknow, April 15, 2023,
Indian Premier League"
"Prabhsimran Singh","b Yudhvir Singh","4","4","1","0","100.00","Punjab Kings","21st Match (N), Lucknow, April 15, 2023,
Indian Premier League"
"Matthew Short","c Stoinis b Gowtham","34","22","5","1","154.54","Punjab Kings","21st Match (N), Lucknow, April 15, 2023,
Indian Premier League"
"Harpreet Singh","c sub (PN Mankad) b Pandya","22","22","3","0","100.00","Punjab Kings","21st Match (N), Lucknow, April 15, 2023,
Indian Premier League"
"Sikandar Raza","c Stoinis b Ravi Bishnoi","57","41","4","3","139.02","Punjab Kings","21st Match (N), Lucknow, April 15, 2023,
Indian Premier League"
"Sam Curran (c)","c Pandya b Ravi Bishnoi","6","6","1","0","100.00","Punjab Kings","21st Match (N), Lucknow, April 15, 2023,
Indian Premier League"
"Jitesh Sharma †","c Rahul b Wood","2","4","0","0","50.00","Punjab Kings","21st Match (N), Lucknow, April 15, 2023,
Indian Premier League"
"M Shahrukh Khan","not out","23","10","1","2","230.00","Punjab Kings","21st Match (N), Lucknow, April 15, 2023,
Indian Premier League"
"Harpreet Brar","c †Pooran b Wood","6","4","1","0","150.00","Punjab Kings","21st Match (N), Lucknow, April 15, 2023,
Indian Premier League"
"Kagiso Rabada","not out","0","1","0","0","0.00","Punjab Kings","21st Match (N), Lucknow, April 15, 2023,
Indian Premier League"
"Arshdeep Singh","","Did not bat:","","","","","",""
"Rahmanullah Gurbaz †","c Jansen b Chawla","8","12","0","0","66.66","Kolkata Knight Riders","22nd Match (D/N), Wankhede, April 16, 2023,
Indian Premier League"
"Narayan Jagadeesan","c Shokeen b Green","0","5","0","0","0.00","Kolkata Knight Riders","22nd Match (D/N), Wankhede, April 16, 2023,
Indian Premier League"
"Venkatesh Iyer","c Jansen b Meredith","104","51","6","9","203.92","Kolkata Knight Riders","22nd Match (D/N), Wankhede, April 16, 2023,
Indian Premier League"
"Nitish Rana (c)","c sub (Ramandeep Singh) b Shokeen","5","10","0","0","50.00","Kolkata Knight Riders","22nd Match (D/N), Wankhede, April 16, 2023,
Indian Premier League"
"Shardul Thakur","c Tilak Varma b Shokeen","13","11","1","0","118.18","Kolkata Knight Riders","22nd Match (D/N), Wankhede, April 16, 2023,
Indian Premier League"
"Rinku Singh","c Wadhera b Jansen","18","18","2","0","100.00","Kolkata Knight Riders","22nd Match (D/N), Wankhede, April 16, 2023,
Indian Premier League"
"Andre Russell","not out","21","11","3","1","190.90","Kolkata Knight Riders","22nd Match (D/N), Wankhede, April 16, 2023,
Indian Premier League"
"Sunil Narine","not out","2","2","0","0","100.00","Kolkata Knight Riders","22nd Match (D/N), Wankhede, April 16, 2023,
Indian Premier League"
"Umesh Yadav,","","Did not bat:","","","","","",""
"Lockie Ferguson,","","Did not bat:","","","","","",""
"Varun Chakravarthy","","Did not bat:","","","","","",""
"Rohit Sharma","c Yadav b Suyash Sharma","20","13","1","2","153.84","Mumbai Indians","22nd Match (D/N), Wankhede, April 16, 2023,
Indian Premier League"
"Ishan Kishan †","b Varun","58","25","5","5","232.00","Mumbai Indians","22nd Match (D/N), Wankhede, April 16, 2023,
Indian Premier League"
"Suryakumar Yadav (c)","c †Rahmanullah Gurbaz b Thakur","43","25","4","3","172.00","Mumbai Indians","22nd Match (D/N), Wankhede, April 16, 2023,
Indian Premier League"
"Tilak Varma","b Suyash Sharma","30","25","3","1","120.00","Mumbai Indians","22nd Match (D/N), Wankhede, April 16, 2023,
Indian Premier League"
"Tim David","not out","24","13","1","2","184.61","Mumbai Indians","22nd Match (D/N), Wankhede, April 16, 2023,
Indian Premier League"
"Nehal Wadhera","c †Rahmanullah Gurbaz b Ferguson","6","4","1","0","150.00","Mumbai Indians","22nd Match (D/N), Wankhede, April 16, 2023,
Indian Premier League"
"Cameron Green","not out","1","1","0","0","100.00","Mumbai Indians","22nd Match (D/N), Wankhede, April 16, 2023,
Indian Premier League"
"Arjun Tendulkar,","","Did not bat:","","","","","",""
"Hrithik Shokeen,","","Did not bat:","","","","","",""
"Piyush Chawla,","","Did not bat:","","","","","",""
"Duan Jansen","","Did not bat:","","","","","",""
"Wriddhiman Saha †","c & b Boult","4","3","1","0","133.33","Gujarat Titans","23rd Match (N), Ahmedabad, April 16, 2023,
Indian Premier League"
"Shubman Gill","c Buttler b Sandeep Sharma","45","34","4","1","132.35","Gujarat Titans","23rd Match (N), Ahmedabad, April 16, 2023,
Indian Premier League"
"Sai Sudharsan","run out (Buttler/†Samson)","20","19","2","0","105.26","Gujarat Titans","23rd Match (N), Ahmedabad, April 16, 2023,
Indian Premier League"
"Hardik Pandya (c)","c Jaiswal b Chahal","28","19","3","1","147.36","Gujarat Titans","23rd Match (N), Ahmedabad, April 16, 2023,
Indian Premier League"
"David Miller","c Hetmyer b Sandeep Sharma","46","30","3","2","153.33","Gujarat Titans","23rd Match (N), Ahmedabad, April 16, 2023,
Indian Premier League"
"Abhinav Manohar","c Padikkal b Zampa","27","13","0","3","207.69","Gujarat Titans","23rd Match (N), Ahmedabad, April 16, 2023,
Indian Premier League"
"Rahul Tewatia","not out","1","1","0","0","100.00","Gujarat Titans","23rd Match (N), Ahmedabad, April 16, 2023,
Indian Premier League"
"Rashid Khan","run out (Buttler/Sandeep Sharma)","1","1","0","0","100.00","Gujarat Titans","23rd Match (N), Ahmedabad, April 16, 2023,
Indian Premier League"
"Alzarri Joseph","not out","0","0","0","0","-","Gujarat Titans","23rd Match (N), Ahmedabad, April 16, 2023,
Indian Premier League"
"Mohammed Shami,","","Did not bat:","","","","","",""
"Mohit Sharma","","Did not bat:","","","","","",""
"Yashasvi Jaiswal","c Shubman Gill b Pandya","1","7","0","0","14.28","Rajasthan Royals","23rd Match (N), Ahmedabad, April 16, 2023,
Indian Premier League"
"Jos Buttler","b Mohammed Shami","0","5","0","0","0.00","Rajasthan Royals","23rd Match (N), Ahmedabad, April 16, 2023,
Indian Premier League"
"Devdutt Padikkal","c Sharma b Rashid Khan","26","25","2","2","104.00","Rajasthan Royals","23rd Match (N), Ahmedabad, April 16, 2023,
Indian Premier League"
"Sanju Samson (c)†","c Miller b Noor Ahmad","60","32","3","6","187.50","Rajasthan Royals","23rd Match (N), Ahmedabad, April 16, 2023,
Indian Premier League"
"Riyan Parag","c Miller b Rashid Khan","5","7","0","0","71.42","Rajasthan Royals","23rd Match (N), Ahmedabad, April 16, 2023,
Indian Premier League"
"Shimron Hetmyer","not out","56","26","2","5","215.38","Rajasthan Royals","23rd Match (N), Ahmedabad, April 16, 2023,
Indian Premier League"
"Dhruv Jurel","c Sharma b Mohammed Shami","18","10","2","1","180.00","Rajasthan Royals","23rd Match (N), Ahmedabad, April 16, 2023,
Indian Premier League"
"Ravichandran Ashwin","c Tewatia b Mohammed Shami","10","3","1","1","333.33","Rajasthan Royals","23rd Match (N), Ahmedabad, April 16, 2023,
Indian Premier League"
"Trent Boult","not out","0","1","0","0","0.00","Rajasthan Royals","23rd Match (N), Ahmedabad, April 16, 2023,
Indian Premier League"
"Sandeep Sharma,","","Did not bat:","","","","","",""
"Adam Zampa","","Did not bat:","","","","","",""
"Ruturaj Gaikwad","c Parnell b Mohammed Siraj","3","6","0","0","50.00","Chennai Super Kings","24th Match (N), Bengaluru, April 17, 2023,
Indian Premier League"
"Devon Conway","b Patel","83","45","6","6","184.44","Chennai Super Kings","24th Match (N), Bengaluru, April 17, 2023,
Indian Premier League"
"Ajinkya Rahane","b de Silva","37","20","3","2","185.00","Chennai Super Kings","24th Match (N), Bengaluru, April 17, 2023,
Indian Premier League"
"Shivam Dube","c Mohammed Siraj b Parnell","52","27","2","5","192.59","Chennai Super Kings","24th Match (N), Bengaluru, April 17, 2023,
Indian Premier League"
"Ambati Rayudu","c †Karthik b Vyshak","14","6","1","1","233.33","Chennai Super Kings","24th Match (N), Bengaluru, April 17, 2023,
Indian Premier League"
"Moeen Ali","not out","19","9","0","2","211.11","Chennai Super Kings","24th Match (N), Bengaluru, April 17, 2023,
Indian Premier League"
"Ravindra Jadeja","c Prabhudessai b Maxwell","10","8","0","1","125.00","Chennai Super Kings","24th Match (N), Bengaluru, April 17, 2023,
Indian Premier League"
"MS Dhoni (c)†","not out","1","1","0","0","100.00","Chennai Super Kings","24th Match (N), Bengaluru, April 17, 2023,
Indian Premier League"
"Tushar Deshpande,","","Did not bat:","","","","","",""
"Maheesh Theekshana,","","Did not bat:","","","","","",""
"Matheesha Pathirana","","Did not bat:","","","","","",""
"Virat Kohli","b Akash Singh","6","4","1","0","150.00","Royal Challengers Bangalore","24th Match (N), Bengaluru, April 17, 2023,
Indian Premier League"
"Faf du Plessis (c)","c †Dhoni b Ali","62","33","5","4","187.87","Royal Challengers Bangalore","24th Match (N), Bengaluru, April 17, 2023,
Indian Premier League"
"Mahipal Lomror","c Gaikwad b Deshpande","0","5","0","0","0.00","Royal Challengers Bangalore","24th Match (N), Bengaluru, April 17, 2023,
Indian Premier League"
"Glenn Maxwell","c †Dhoni b Theekshana","76","36","3","8","211.11","Royal Challengers Bangalore","24th Match (N), Bengaluru, April 17, 2023,
Indian Premier League"
"Shahbaz Ahmed","c Gaikwad b Pathirana","12","10","0","1","120.00","Royal Challengers Bangalore","24th Match (N), Bengaluru, April 17, 2023,
Indian Premier League"
"Dinesh Karthik †","c Theekshana b Deshpande","28","14","3","1","200.00","Royal Challengers Bangalore","24th Match (N), Bengaluru, April 17, 2023,
Indian Premier League"
"Suyash Prabhudessai","c Jadeja b Pathirana","19","11","0","2","172.72","Royal Challengers Bangalore","24th Match (N), Bengaluru, April 17, 2023,
Indian Premier League"
"Wayne Parnell","c Dube b Deshpande","2","5","0","0","40.00","Royal Challengers Bangalore","24th Match (N), Bengaluru, April 17, 2023,
Indian Premier League"
"Wanindu Hasaranga","not out","2","2","0","0","100.00","Royal Challengers Bangalore","24th Match (N), Bengaluru, April 17, 2023,
Indian Premier League"
"Harshal Patel,","","Did not bat:","","","","","",""
"Vijaykumar Vyshak","","Did not bat:","","","","","",""
"Rohit Sharma (c)","c Markram b Natarajan","28","18","6","0","155.55","Mumbai Indians","25th Match (N), Hyderabad, April 18, 2023,
Indian Premier League"
"Ishan Kishan †","c Markram b Jansen","38","31","3","2","122.58","Mumbai Indians","25th Match (N), Hyderabad, April 18, 2023,
Indian Premier League"
"Cameron Green","not out","64","40","6","2","160.00","Mumbai Indians","25th Match (N), Hyderabad, April 18, 2023,
Indian Premier League"
"Suryakumar Yadav","c Markram b Jansen","7","3","0","1","233.33","Mumbai Indians","25th Match (N), Hyderabad, April 18, 2023,
Indian Premier League"
"Tilak Varma","c Agarwal b Kumar","37","17","2","4","217.64","Mumbai Indians","25th Match (N), Hyderabad, April 18, 2023,
Indian Premier League"
"Tim David","run out (Abhishek Sharma/Natarajan)","16","11","2","0","145.45","Mumbai Indians","25th Match (N), Hyderabad, April 18, 2023,
Indian Premier League"
"Nehal Wadhera,","","Did not bat:","","","","","",""
"Arjun Tendulkar,","","Did not bat:","","","","","",""
"Hrithik Shokeen,","","Did not bat:","","","","","",""
"Piyush Chawla,","","Did not bat:","","","","","",""
"Jason Behrendorff","","Did not bat:","","","","","",""
"Harry Brook","c Yadav b Behrendorff","9","7","2","0","128.57","Sunrisers Hyderabad","25th Match (N), Hyderabad, April 18, 2023,
Indian Premier League"
"Mayank Agarwal","c David b Meredith","48","41","4","1","117.07","Sunrisers Hyderabad","25th Match (N), Hyderabad, April 18, 2023,
Indian Premier League"
"Rahul Tripathi","c †Ishan Kishan b Behrendorff","7","5","1","0","140.00","Sunrisers Hyderabad","25th Match (N), Hyderabad, April 18, 2023,
Indian Premier League"
"Aiden Markram (c)","c Shokeen b Green","22","17","1","1","129.41","Sunrisers Hyderabad","25th Match (N), Hyderabad, April 18, 2023,
Indian Premier League"
"Abhishek Sharma","c David b Chawla","1","2","0","0","50.00","Sunrisers Hyderabad","25th Match (N), Hyderabad, April 18, 2023,
Indian Premier League"
"Heinrich Klaasen †","c David b Chawla","36","16","4","2","225.00","Sunrisers Hyderabad","25th Match (N), Hyderabad, April 18, 2023,
Indian Premier League"
"Abdul Samad","run out (Shokeen/†Ishan Kishan)","9","12","1","0","75.00","Sunrisers Hyderabad","25th Match (N), Hyderabad, April 18, 2023,
Indian Premier League"
"Marco Jansen","c David b Meredith","13","6","3","0","216.66","Sunrisers Hyderabad","25th Match (N), Hyderabad, April 18, 2023,
Indian Premier League"
"Washington Sundar","run out (David)","10","6","2","0","166.66","Sunrisers Hyderabad","25th Match (N), Hyderabad, April 18, 2023,
Indian Premier League"
"Bhuvneshwar Kumar","c Sharma b Tendulkar","2","5","0","0","40.00","Sunrisers Hyderabad","25th Match (N), Hyderabad, April 18, 2023,
Indian Premier League"
"Mayank Markande","not out","2","2","0","0","100.00","Sunrisers Hyderabad","25th Match (N), Hyderabad, April 18, 2023,
Indian Premier League"
"KL Rahul (c)","c Buttler b Holder","39","32","4","1","121.87","Lucknow Super Giants","26th Match (N), Jaipur, April 19, 2023,
Indian Premier League"
"Kyle Mayers","b Ashwin","51","42","4","3","121.42","Lucknow Super Giants","26th Match (N), Jaipur, April 19, 2023,
Indian Premier League"
"Ayush Badoni","b Boult","1","4","0","0","25.00","Lucknow Super Giants","26th Match (N), Jaipur, April 19, 2023,
Indian Premier League"
"Deepak Hooda","c Hetmyer b Ashwin","2","4","0","0","50.00","Lucknow Super Giants","26th Match (N), Jaipur, April 19, 2023,
Indian Premier League"
"Marcus Stoinis","c †Samson b Sandeep Sharma","21","16","2","0","131.25","Lucknow Super Giants","26th Match (N), Jaipur, April 19, 2023,
Indian Premier League"
"Nicholas Pooran †","run out (†Samson)","29","20","2","1","145.00","Lucknow Super Giants","26th Match (N), Jaipur, April 19, 2023,
Indian Premier League"
"Krunal Pandya","not out","4","2","1","0","200.00","Lucknow Super Giants","26th Match (N), Jaipur, April 19, 2023,
Indian Premier League"
"Yudhvir Singh","run out (Hetmyer/†Samson)","1","1","0","0","100.00","Lucknow Super Giants","26th Match (N), Jaipur, April 19, 2023,
Indian Premier League"
"Naveen-ul-Haq,","","Did not bat:","","","","","",""
"Ravi Bishnoi,","","Did not bat:","","","","","",""
"Avesh Khan","","Did not bat:","","","","","",""
"Yashasvi Jaiswal","c Avesh Khan b Stoinis","44","35","4","2","125.71","Rajasthan Royals","26th Match (N), Jaipur, April 19, 2023,
Indian Premier League"
"Jos Buttler","c Ravi Bishnoi b Stoinis","40","41","4","1","97.56","Rajasthan Royals","26th Match (N), Jaipur, April 19, 2023,
Indian Premier League"
"Sanju Samson (c)†","run out (Mishra/†Pooran)","2","4","0","0","50.00","Rajasthan Royals","26th Match (N), Jaipur, April 19, 2023,
Indian Premier League"
"Devdutt Padikkal","c †Pooran b Avesh Khan","26","21","4","0","123.80","Rajasthan Royals","26th Match (N), Jaipur, April 19, 2023,
Indian Premier League"
"Shimron Hetmyer","c Rahul b Avesh Khan","2","5","0","0","40.00","Rajasthan Royals","26th Match (N), Jaipur, April 19, 2023,
Indian Premier League"
"Riyan Parag","not out","15","12","1","1","125.00","Rajasthan Royals","26th Match (N), Jaipur, April 19, 2023,
Indian Premier League"
"Dhruv Jurel","c Hooda b Avesh Khan","0","1","0","0","0.00","Rajasthan Royals","26th Match (N), Jaipur, April 19, 2023,
Indian Premier League"
"Ravichandran Ashwin","not out","3","2","0","0","150.00","Rajasthan Royals","26th Match (N), Jaipur, April 19, 2023,
Indian Premier League"
"Jason Holder,","","Did not bat:","","","","","",""
"Trent Boult,","","Did not bat:","","","","","",""
"Sandeep Sharma","","Did not bat:","","","","","",""
"Virat Kohli (c)","c †Sharma b Harpreet Brar","59","47","5","1","125.53","Royal Challengers Bangalore","27th Match (D/N), Mohali, April 20, 2023,
Indian Premier League"
"Faf du Plessis","c Curran b Ellis","84","56","5","5","150.00","Royal Challengers Bangalore","27th Match (D/N), Mohali, April 20, 2023,
Indian Premier League"
"Glenn Maxwell","c Taide b Harpreet Brar","0","1","0","0","0.00","Royal Challengers Bangalore","27th Match (D/N), Mohali, April 20, 2023,
Indian Premier League"
"Dinesh Karthik †","c Taide b Arshdeep Singh","7","5","1","0","140.00","Royal Challengers Bangalore","27th Match (D/N), Mohali, April 20, 2023,
Indian Premier League"
"Mahipal Lomror","not out","7","9","1","0","77.77","Royal Challengers Bangalore","27th Match (D/N), Mohali, April 20, 2023,
Indian Premier League"
"Shahbaz Ahmed","not out","5","3","0","0","166.66","Royal Challengers Bangalore","27th Match (D/N), Mohali, April 20, 2023,
Indian Premier League"
"Suyash Prabhudessai,","","Did not bat:","","","","","",""
"Wanindu Hasaranga,","","Did not bat:","","","","","",""
"Harshal Patel,","","Did not bat:","","","","","",""
"Wayne Parnell,","","Did not bat:","","","","","",""
"Mohammed Siraj","","Did not bat:","","","","","",""
"Atharva Taide","lbw b Mohammed Siraj","4","2","1","0","200.00","Punjab Kings","27th Match (D/N), Mohali, April 20, 2023,
Indian Premier League"
"Prabhsimran Singh","b Parnell","46","30","3","4","153.33","Punjab Kings","27th Match (D/N), Mohali, April 20, 2023,
Indian Premier League"
"Matthew Short","b de Silva","8","7","0","1","114.28","Punjab Kings","27th Match (D/N), Mohali, April 20, 2023,
Indian Premier League"
"Liam Livingstone","lbw b Mohammed Siraj","2","4","0","0","50.00","Punjab Kings","27th Match (D/N), Mohali, April 20, 2023,
Indian Premier League"
"Harpreet Singh","run out (Mohammed Siraj)","13","9","1","1","144.44","Punjab Kings","27th Match (D/N), Mohali, April 20, 2023,
Indian Premier League"
"Sam Curran (c)","run out (de Silva)","10","12","1","0","83.33","Punjab Kings","27th Match (D/N), Mohali, April 20, 2023,
Indian Premier League"
"Jitesh Sharma †","c Shahbaz Ahmed b Patel","41","27","2","3","151.85","Punjab Kings","27th Match (D/N), Mohali, April 20, 2023,
Indian Premier League"
"M Shahrukh Khan","st †Karthik b de Silva","7","5","0","1","140.00","Punjab Kings","27th Match (D/N), Mohali, April 20, 2023,
Indian Premier League"
"Harpreet Brar","b Mohammed Siraj","13","13","1","0","100.00","Punjab Kings","27th Match (D/N), Mohali, April 20, 2023,
Indian Premier League"
"Nathan Ellis","b Mohammed Siraj","1","2","0","0","50.00","Punjab Kings","27th Match (D/N), Mohali, April 20, 2023,
Indian Premier League"
"Arshdeep Singh","not out","0","0","0","0","-","Punjab Kings","27th Match (D/N), Mohali, April 20, 2023,
Indian Premier League"
"Jason Roy","c Aman Hakim Khan b Kuldeep Yadav","43","39","5","1","110.25","Kolkata Knight Riders","28th Match (N), Delhi, April 20, 2023,
Indian Premier League"
"Litton Das †","c Lalit Yadav b Mukesh Kumar","4","4","1","0","100.00","Kolkata Knight Riders","28th Match (N), Delhi, April 20, 2023,
Indian Premier League"
"Venkatesh Iyer","c Marsh b Nortje","0","2","0","0","0.00","Kolkata Knight Riders","28th Match (N), Delhi, April 20, 2023,
Indian Premier League"
"Nitish Rana (c)","c Mukesh Kumar b Sharma","4","7","1","0","57.14","Kolkata Knight Riders","28th Match (N), Delhi, April 20, 2023,
Indian Premier League"
"Mandeep Singh","b Patel","12","11","0","1","109.09","Kolkata Knight Riders","28th Match (N), Delhi, April 20, 2023,
Indian Premier League"
